LC,product,sr_level,temp,category,sub_category,off_on_ratio
12,4,0.5190643645632657,cold,1,3,1.2787231281049878
13,4,1.3591458379511754,cold,1,3,1.0586345779116535
14,4,0.35125227439190715,cold,1,3,1.0464450946061212
15,4,0.475925196251415,cold,1,3,0.9097903306932166
16,4,0.3258933834703001,cold,1,3,1.0001614220323136
0,5,0.7026391334918659,cold,1,3,1.4391738498177609
1,5,0.6979798162049615,cold,1,3,1.1028834661423468
2,5,0.39317241693000893,cold,1,3,1.0327249607349147
3,5,0.5394365297772754,cold,1,3,0.8589452277949761
4,5,0.8254398555917809,cold,1,3,0.8837600771669556
5,5,0.5340593039425303,cold,1,3,0.9616323702227628
6,5,0.6119975272237057,cold,1,3,0.9780014828526473
7,5,1.0403441613047693,cold,1,3,0.9100980423766001
8,5,0.5614239150266166,cold,1,3,1.002047512511037
9,5,0.5931240719012258,cold,1,3,1.055046015245922
10,5,0.4577903102787158,cold,1,3,0.8649996695208659
11,5,0.9401114160247969,cold,1,3,0.9852262656266216
12,5,0.6518697155687863,cold,1,3,1.1787517156459855
13,5,1.1547891653806803,cold,1,3,0.8753481231270308
14,5,0.5017363388235591,cold,1,3,0.8155453861068019
15,5,0.6011432214922281,cold,1,3,0.8788040967009686
16,5,0.511417741724834,cold,1,3,0.8967782044812579
0,6,0.5608157703129504,cold,1,3,1.3271480698089146
1,6,0.4820014501198869,cold,1,3,1.6696180686121682
2,6,0.39156836635695097,cold,1,3,1.27327123703092
3,6,0.7320790854890169,cold,1,3,1.572601194046716
4,6,0.7468932438695839,cold,1,3,1.004857212974573
5,6,0.9227597737924188,cold,1,3,1.3887429559594573
6,6,0.5951069524557812,cold,1,3,1.6207258591508653
7,6,1.0837623212344574,cold,1,3,1.1469619599694107
8,6,0.6224544534826426,cold,1,3,1.4821140475866026
9,6,0.5638716079257541,cold,1,3,1.3181200988194284
10,6,0.4819686855802613,cold,1,3,1.2828115037670123
11,6,1.2113491682171769,cold,1,3,1.5570357971028879
12,6,0.7844582486532025,cold,1,3,2.052365454337141
13,6,1.7054421562869388,cold,1,3,1.12587536834725
14,6,0.4244680115205777,cold,1,3,1.6131017454904926
15,6,0.6301268942607652,cold,1,3,1.736962120569833
16,6,0.38341479430382397,cold,1,3,1.2901780781903698
0,7,0.5404910299895687,cold,1,3,1.1578814049358404
1,7,0.5062336566655834,cold,1,3,1.102035219128111
2,7,0.38356526912332345,cold,1,3,1.022793706435546
3,7,0.5205635191751763,cold,1,3,0.9973143530995325
4,7,0.6433184903822526,cold,1,3,0.8434831490374985
5,7,0.4745484801668773,cold,1,3,0.9490008064446634
6,7,0.4160718428326678,cold,1,3,0.9410299109628948
7,7,0.7795487830239387,cold,1,3,0.9370657814267124
8,7,0.4342771599897221,cold,1,3,1.0316176920796254
9,7,0.4829127375508354,cold,1,3,1.0228816818235973
10,7,0.6169824994303349,cold,1,3,0.8753700453451728
11,7,0.7410845816066717,cold,1,3,0.9660141956241738
12,7,0.6063505277246689,cold,1,3,1.1018136414451816
13,7,0.9349368983534692,cold,1,3,1.2279247722573787
14,7,0.40408285227519414,cold,1,3,1.0077237655694542
15,7,0.42160089853854377,cold,1,3,0.7420524556632605
16,7,0.3672663996919646,cold,1,3,0.8173408493460155
0,8,29.743435226080955,hot,4,21,1.1684911475729949
1,8,29.40098790649094,hot,4,21,1.1690536947662014
2,8,40.46310225375593,hot,4,21,1.1191722084248177
3,8,28.238924808865573,hot,4,21,1.12327074575026
4,8,46.17560287113459,hot,4,21,1.067121105568425
5,8,29.733672269554944,hot,4,21,1.1626462966554931
6,8,34.8379879772627,hot,4,21,1.17643016411576
7,8,66.97301620652195,hot,4,21,1.0480252854289196
8,8,39.776937967618856,hot,4,21,1.1715518862307563
9,8,45.57449270939486,hot,4,21,1.229951661644227
10,8,38.72184491317104,hot,4,21,1.1777425003981326
11,8,37.73874260528522,hot,4,21,1.066654451313757
12,8,38.40113620497746,hot,4,21,1.144494410793528
13,8,56.99286884813273,hot,4,21,1.1281865470337988
14,8,34.02650696964608,hot,4,21,1.12214434226586
15,8,33.342442020348116,hot,4,21,1.1246084720334382
16,8,30.696471976075262,hot,4,21,1.0657051405918732
0,9,44.65728820159394,hot,4,21,1.4076418283888845
1,9,38.93577560952744,hot,4,21,1.3480912731935137
2,9,66.3672675572244,hot,4,21,1.3729739575706394
3,9,50.27801321209141,hot,4,21,1.316474018935021
4,9,49.84120226802762,hot,4,21,1.2238319032388818
5,9,55.82333703378618,hot,4,21,1.3573478420133667
6,9,66.24519687067314,hot,4,21,1.2937240480997392
7,9,80.38606549594553,hot,4,21,1.2306858004649512
8,9,69.09086500644895,hot,4,21,1.2284763930025557
9,9,60.768365193721216,hot,4,21,1.316609807385446
10,9,66.88832529907913,hot,4,21,1.3532382321867966
11,9,45.69413865796315,hot,4,21,1.2622751203738565
12,9,60.5527169671444,hot,4,21,1.3830208193490017
13,9,63.73349095174444,hot,4,21,1.3181758661406267
14,9,51.71713794503705,hot,4,21,1.2546524582157674
